SEARCHVAL,coordinates,Nearest School,Neareset School Coordinates,Nearest School Distance,Raffles MRT Coords,Time To City,Nearest Malls,Nearest Mall Distance,Nearest MRT,Nearest MRT Distance,Original Nameds
638 HOUGANG AVENUE 8 SINGAPORE 530638,"1.37085850906468,103.878681068779",ROSYTH SCHOOL,"1.37289067499064,103.875001549174",867,"1.28393326234538,103.851463066212",37.9,HOUGANG 1,713,KOVAN MRT STATION (NE13),1829,638 HOUGANG AVE 8
638 PASIR RIS DRIVE 1 SINGAPORE 510638,"1.37615850070305,103.94083860049",PARK VIEW PRIMARY SCHOOL,"1.37738069854249,103.939541695654",410,"1.28393326234538,103.851463066212",41.6,ELIAS MALL,599,PASIR RIS MRT STATION (EW1),1363,638 PASIR RIS DR 1
638 WOODLANDS RING ROAD SINGAPORE 730638,"1.43671737829561,103.803192512642",GREENWOOD PRIMARY SCHOOL,"1.43989958331782,103.804725587384",522,"1.28393326234538,103.851463066212",49.91666667,ADMIRALTY PLACE,428,ADMIRALTY MRT STATION (NS10),581,638 WOODLANDS RING RD
638 YISHUN STREET 61 SINGAPORE 760638,"1.42025912183945,103.838566299942",NORTHLAND PRIMARY SCHOOL,"1.42096989918951,103.840928424929",353,"1.28393326234538,103.851463066212",43.05,WISTERIA MALL,520,KHATIB MRT STATION (NS14),975,638 YISHUN ST 61
THE MEADOWS,"1.40012395686646,103.914871740477",HORIZON PRIMARY SCHOOL,"1.399550034492,103.913404855665",267,"1.28393326234538,103.851463066212",38.53333333,OASIS TERRACES,449,PUNGGOL COAST MRT STATION (NE18),2209,638A PUNGGOL DR
THE MEADOWS,"1.39982443379455,103.915138951352",HORIZON PRIMARY SCHOOL,"1.399550034492,103.913404855665",282,"1.28393326234538,103.851463066212",38.08333333,OASIS TERRACES,488,PUNGGOL COAST MRT STATION (NE18),2249,638B PUNGGOL DR
THE MEADOWS,"1.39967633454267,103.915391620725",HORIZON PRIMARY SCHOOL,"1.399550034492,103.913404855665",324,"1.28393326234538,103.851463066212",37.43333333,OASIS TERRACES,523,PUNGGOL COAST MRT STATION (NE18),2283,638C PUNGGOL DR
YIO CHU KANG HEIGHTS,"1.37993407100545,103.84246297225",ANDERSON PRIMARY SCHOOL,"1.38426429436736,103.841392081119",747,"1.28393326234538,103.851463066212",27.93333333,BROADWAY PLAZA,1309,YIO CHU KANG MRT STATION (NS15),468,639 ANG MO KIO AVE 6
EUNOS TENAGA VILLE,"1.33166324925224,103.904625609758",MAHA BODHI SCHOOL,"1.32847086658384,103.901298737314",716,"1.28393326234538,103.851463066212",28.35,SINGAPORE POST CENTRE,2845,KAKI BUKIT MRT STATION (DT28),846,639 BEDOK RESERVOIR RD
639 BUKIT BATOK CENTRAL SINGAPORE 650639,"1.34925602280733,103.752037439341",BUKIT VIEW PRIMARY SCHOOL,"1.34586054788695,103.75366641455",635,"1.28393326234538,103.851463066212",32.63333333,WEST MALL,446,BUKIT BATOK MRT STATION (NS2),388,639 BT BATOK CTRL
639 CHOA CHU KANG STREET 64 SINGAPORE 680639,"1.39782195310177,103.748998032412",YEW TEE PRIMARY SCHOOL,"1.39676600905037,103.750985967346",303,"1.28393326234538,103.851463066212",40.83333333,YEW TEE SQUARE,277,YEW TEE MRT STATION (NS5),218,639 CHOA CHU KANG ST 64
639 HOUGANG AVENUE 8 SINGAPORE 530639,"1.37051742775071,103.879783573789",XINMIN PRIMARY SCHOOL,"1.37139548941931,103.883080767491",481,"1.28393326234538,103.851463066212",41.46666667,HOUGANG 1,806,KOVAN MRT STATION (NE13),1704,639 HOUGANG AVE 8
639 JURONG WEST STREET 61 SINGAPORE 640639,"1.34069571720843,103.696884325523",JURONG WEST PRIMARY SCHOOL,"1.33917519796104,103.698803732244",368,"1.28393326234538,103.851463066212",40.91666667,PIONEER MALL,216,PIONEER MRT STATION (EW28),533,639 JURONG WEST ST 61
639 PASIR RIS DRIVE 1 SINGAPORE 510639,"1.3766676965195,103.939880592625",PARK VIEW PRIMARY SCHOOL,"1.37738069854249,103.939541695654",291,"1.28393326234538,103.851463066212",42.95,ELIAS MALL,705,PASIR RIS MRT STATION (EW1),1441,639 PASIR RIS DR 1
639 ROWELL ROAD SINGAPORE 200639,"1.30775082189872,103.855203622089",STAMFORD PRIMARY SCHOOL,"1.30345638467449,103.857453500579",837,"1.28393326234538,103.851463066212",13.65,MUSTAFA SHOPPING CENTRE,428,JALAN BESAR MRT STATION (DT22),389,639 ROWELL RD
639 WOODLANDS RING ROAD SINGAPORE 730639,"1.43763312098352,103.803232348897",GREENWOOD PRIMARY SCHOOL,"1.43989958331782,103.804725587384",402,"1.28393326234538,103.851463066212",45.78333333,ADMIRALTY PLACE,347,ADMIRALTY MRT STATION (NS10),512,639 WOODLANDS RING RD
639 YISHUN STREET 61 SINGAPORE 760639,"1.42056023821885,103.838449241015",NORTHLAND PRIMARY SCHOOL,"1.42096989918951,103.840928424929",382,"1.28393326234538,103.851463066212",40.93333333,WISTERIA MALL,554,KHATIB MRT STATION (NS14),1007,639 YISHUN ST 61
LENGKOK BAHRU HEIGHTS,"1.28965100014149,103.815399530717",GAN ENG SENG PRIMARY SCHOOL,"1.28559516494962,103.815547410064",893,"1.28393326234538,103.851463066212",13.55,ANCHORPOINT SHOPPING CENTRE,1488,REDHILL MRT STATION (EW18),337,63A LENGKOK BAHRU
LENGKOK BAHRU HEIGHTS,"1.28907506834277,103.815318433481",GAN ENG SENG PRIMARY SCHOOL,"1.28559516494962,103.815547410064",810,"1.28393326234538,103.851463066212",11.8,ANCHORPOINT SHOPPING CENTRE,1480,REDHILL MRT STATION (EW18),229,63B LENGKOK BAHRU
64 CIRCUIT ROAD SINGAPORE 370064,"1.32698404492367,103.887148432844",CANOSSA CATHOLIC PRIMARY SCHOOL,"1.32664424544839,103.882227964852",809,"1.28393326234538,103.851463066212",19.51666667,PAYA LEBAR SQUARE,1629,MACPHERSON MRT STATION (DT26),332,64 CIRCUIT RD
64 JALAN MA'MOR SINGAPORE 320064,"1.32853234946813,103.857852465902",HONG WEN SCHOOL,"1.32175999964553,103.857628468881",1124,"1.28393326234538,103.851463066212",25.75,HDB HUB,1619,BOON KENG MRT STATION (NE9),1464,64 JLN MA'MOR
64 KALLANG BAHRU SINGAPORE 330064,"1.32034663718702,103.86834750594",BENDEMEER PRIMARY SCHOOL,"1.32181250780475,103.865404167629",481,"1.28393326234538,103.851463066212",17.78333333,APERIA,1576,GEYLANG BAHRU MRT STATION (DT24),465,64 KALLANG BAHRU
MARINE DRIVE GARDENS,"1.3021128018146,103.909481434662",TAO NAN SCHOOL,"1.30528528687321,103.911553152326",571,"1.28393326234538,103.851463066212",33.03333333,PARKWAY PARADE,674,EUNOS MRT STATION (EW7),2347,64 MARINE DR
64 NEW UPPER CHANGI ROAD SINGAPORE 460064,"1.32421853827826,103.939856749673",BEDOK GREEN PRIMARY SCHOOL,"1.32344593287992,103.937878976352",547,"1.28393326234538,103.851463066212",29.16666667,DJITSUN MALL BEDOK,1466,TANAH MERAH MRT STATION (EW4),985,64 NEW UPP CHANGI RD
TEBAN PLACE,"1.32137890995417,103.739779356356",FUHUA PRIMARY SCHOOL,"1.33650394789627,103.736103745748",3268,"1.28393326234538,103.851463066212",41.68333333,JCUBE,2711,JURONG EAST MRT STATION (EW24 / NS1),2530,64 TEBAN GDNS RD
BLANGAH VIEW,"1.27450639323765,103.810535503194",BLANGAH RISE PRIMARY SCHOOL,"1.27612047924037,103.808628535239",506,"1.28393326234538,103.851463066212",19.76666667,ALEXANDRA RETAIL CENTRE (ARC),1519,TELOK BLANGAH MRT STATION (CC28),719,64 TELOK BLANGAH DR
YIO CHU KANG HEIGHTS,"1.38003436037009,103.843606664405",ANDERSON PRIMARY SCHOOL,"1.38426429436736,103.841392081119",740,"1.28393326234538,103.851463066212",26.36666667,BROADWAY PLAZA,1188,YIO CHU KANG MRT STATION (NS15),347,640 ANG MO KIO AVE 6
EUNOS TENAGA VILLE,"1.33210132151895,103.904953194958",MAHA BODHI SCHOOL,"1.32847086658384,103.901298737314",781,"1.28393326234538,103.851463066212",29.2,SINGAPORE POST CENTRE,2910,KAKI BUKIT MRT STATION (DT28),788,640 BEDOK RESERVOIR RD
640 CHOA CHU KANG STREET 64 SINGAPORE 680640,"1.39780253841646,103.749623257764",YEW TEE PRIMARY SCHOOL,"1.39676600905037,103.750985967346",223,"1.28393326234538,103.851463066212",41.96666667,YEW TEE SQUARE,357,YEW TEE MRT STATION (NS5),299,640 CHOA CHU KANG ST 64
640 HOUGANG AVENUE 8 SINGAPORE 530640,"1.37132149112554,103.879755705161",XINMIN PRIMARY SCHOOL,"1.37139548941931,103.883080767491",477,"1.28393326234538,103.851463066212",43.08333333,HOUGANG 1,711,KOVAN MRT STATION (NE13),1815,640 HOUGANG AVE 8
640 JURONG WEST STREET 61 SINGAPORE 640640,"1.34012982685638,103.696648260479",JURONG WEST PRIMARY SCHOOL,"1.33917519796104,103.698803732244",406,"1.28393326234538,103.851463066212",40.48333333,PIONEER MALL,286,PIONEER MRT STATION (EW28),525,640 JURONG WEST ST 61
640 PASIR RIS DRIVE 1 SINGAPORE 510640,"1.37578465528493,103.94043022067",PARK VIEW PRIMARY SCHOOL,"1.37738069854249,103.939541695654",332,"1.28393326234538,103.851463066212",41.06666667,ELIAS MALL,637,PASIR RIS MRT STATION (EW1),1285,640 PASIR RIS DR 1
640 ROWELL ROAD SINGAPORE 200640,"1.30743547948389,103.854713903431",STAMFORD PRIMARY SCHOOL,"1.30345638467449,103.857453500579",809,"1.28393326234538,103.851463066212",13.06666667,MUSTAFA SHOPPING CENTRE,465,JALAN BESAR MRT STATION (DT22),361,640 ROWELL RD
640 WOODLANDS RING ROAD SINGAPORE 730640,"1.43807796920962,103.802386575624",GREENWOOD PRIMARY SCHOOL,"1.43989958331782,103.804725587384",373,"1.28393326234538,103.851463066212",46.78333333,ADMIRALTY PLACE,219,ADMIRALTY MRT STATION (NS10),372,640 WOODLANDS RING RD
640 YISHUN STREET 61 SINGAPORE 760640,"1.42106180523936,103.838806521089",NORTHLAND PRIMARY SCHOOL,"1.42096989918951,103.840928424929",372,"1.28393326234538,103.851463066212",42.45,WISTERIA MALL,547,KHATIB MRT STATION (NS14),1123,640 YISHUN ST 61
640A YISHUN STREET 61 SINGAPORE 761640,"1.42087184158348,103.839138942875",NORTHLAND PRIMARY SCHOOL,"1.42096989918951,103.840928424929",311,"1.28393326234538,103.851463066212",42.16666667,WISTERIA MALL,482,KHATIB MRT STATION (NS14),1096,640A YISHUN ST 61
EUNOS TENAGA VILLE,"1.33175277099147,103.90523702529",MAHA BODHI SCHOOL,"1.32847086658384,103.901298737314",864,"1.28393326234538,103.851463066212",29.73333333,SINGAPORE POST CENTRE,2864,KAKI BUKIT MRT STATION (DT28),834,641 BEDOK RESERVOIR RD
641 CHOA CHU KANG STREET 64 SINGAPORE 680641,"1.39830454666217,103.749817817326",YEW TEE PRIMARY SCHOOL,"1.39676600905037,103.750985967346",267,"1.28393326234538,103.851463066212",42.83333333,YEW TEE SQUARE,341,YEW TEE MRT STATION (NS5),357,641 CHOA CHU KANG ST 64
641 HOUGANG AVENUE 8 SINGAPORE 530641,"1.37127600641449,103.880058705708",XINMIN PRIMARY SCHOOL,"1.37139548941931,103.883080767491",409,"1.28393326234538,103.851463066212",42.48333333,HOUGANG 1,725,KOVAN MRT STATION (NE13),1806,641 HOUGANG AVE 8
641 JURONG WEST STREET 61 SINGAPORE 640641,"1.34066811398303,103.696356784294",JURONG WEST PRIMARY SCHOOL,"1.33917519796104,103.698803732244",445,"1.28393326234538,103.851463066212",41.25,PIONEER MALL,220,PIONEER MRT STATION (EW28),559,641 JURONG WEST ST 61
641 PASIR RIS DRIVE 1 SINGAPORE 510641,"1.37641706690396,103.939594208675",PARK VIEW PRIMARY SCHOOL,"1.37738069854249,103.939541695654",221,"1.28393326234538,103.851463066212",42.3,ELIAS MALL,754,PASIR RIS MRT STATION (EW1),1401,641 PASIR RIS DR 1
641 ROWELL ROAD SINGAPORE 200641,"1.30815916680636,103.855147802763",STAMFORD PRIMARY SCHOOL,"1.30345638467449,103.857453500579",900,"1.28393326234538,103.851463066212",14.65,MUSTAFA SHOPPING CENTRE,360,JALAN BESAR MRT STATION (DT22),457,641 ROWELL RD
641 YISHUN STREET 61 SINGAPORE 760641,"1.42081685421992,103.838166008926",NORTHLAND PRIMARY SCHOOL,"1.42096989918951,103.840928424929",450,"1.28393326234538,103.851463066212",41.21666667,WISTERIA MALL,622,KHATIB MRT STATION (NS14),1032,641 YISHUN ST 61
THE MEADOWS,"1.39855482327723,103.917001591598",WATERWAY PRIMARY SCHOOL,"1.39882800626578,103.918621581556",494,"1.28393326234538,103.851463066212",36.96666667,OASIS TERRACES,699,PUNGGOL COAST MRT STATION (NE18),2459,641A PUNGGOL DR
THE MEADOWS,"1.39879210176291,103.91662522758",WATERWAY PRIMARY SCHOOL,"1.39882800626578,103.918621581556",471,"1.28393326234538,103.851463066212",36.46666667,OASIS TERRACES,676,PUNGGOL COAST MRT STATION (NE18),2437,641B PUNGGOL DR
THE MEADOWS,"1.3989402044243,103.916372554304",WATERWAY PRIMARY SCHOOL,"1.39882800626578,103.918621581556",432,"1.28393326234538,103.851463066212",35.88333333,OASIS TERRACES,637,PUNGGOL COAST MRT STATION (NE18),2397,641C PUNGGOL DR
ANG MO KIO 61,"1.37794352430397,103.840479239853",MAYFLOWER PRIMARY SCHOOL (JAN 2019 - DEC 2021),"1.37614621670476,103.835805246743",852,"1.28393326234538,103.851463066212",33.51666667,BROADWAY PLAZA,1252,YIO CHU KANG MRT STATION (NS15),909,642 ANG MO KIO AVE 5
EUNOS TENAGA VILLE,"1.33127359772764,103.905592578253",MAHA BODHI SCHOOL,"1.32847086658384,103.901298737314",809,"1.28393326234538,103.851463066212",29.75,SINGAPORE POST CENTRE,2797,KAKI BUKIT MRT STATION (DT28),836,642 BEDOK RESERVOIR RD
