,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,combined_blk_street_name,oneMapAPI_Name,time_to_city,nearest_mall,nearest_school,nearest_mrt,storey,town_premium,flat_model_premium
25,2019-05,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,04 TO 06,31.0,Improved,1975,54,180000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,5,0.0,0.0
26,2019-05,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,07 TO 09,31.0,Improved,1975,54,183000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,8,0.0,0.0
27,2019-05,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,10 TO 12,31.0,Improved,1975,54,187000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,11,0.0,0.0
28,2019-09,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,04 TO 06,31.0,Improved,1975,54,165000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,5,0.0,0.0
29,2020-02,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,10 TO 12,31.0,Improved,1975,54,157000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,11,0.0,0.0
30,2020-03,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,01 TO 03,31.0,Improved,1975,54,160000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,2,0.0,0.0
31,2020-03,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,01 TO 03,31.0,Improved,1975,54,165000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,2,0.0,0.0
32,2020-05,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,10 TO 12,31.0,Improved,1975,53,165000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,11,0.0,0.0
33,2020-06,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,01 TO 03,31.0,Improved,1975,54,205000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,2,0.0,0.0
34,2020-06,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,04 TO 06,31.0,Improved,1975,53,180000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,5,0.0,0.0
