month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,storey,town_premium,flat_model_premium
2017-01,ANG MO KIO,3 ROOM,108,ANG MO KIO AVE 4,01 TO 03,67,New Generation,1978,60,250000,2,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,602,ANG MO KIO AVE 5,01 TO 03,67,New Generation,1980,62,262000,2,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,465,ANG MO KIO AVE 10,04 TO 06,68,New Generation,1980,62,265000,5,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,601,ANG MO KIO AVE 5,01 TO 03,67,New Generation,1980,62,265000,2,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,150,ANG MO KIO AVE 5,01 TO 03,68,New Generation,1981,63,275000,2,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,447,ANG MO KIO AVE 10,04 TO 06,68,New Generation,1979,61,280000,5,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,04 TO 06,67,New Generation,1976,58,285000,5,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,447,ANG MO KIO AVE 10,04 TO 06,68,New Generation,1979,61,285000,5,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,571,ANG MO KIO AVE 3,01 TO 03,67,New Generation,1979,61,285000,2,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,534,ANG MO KIO AVE 10,01 TO 03,68,New Generation,1980,62,288500,2,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,233,ANG MO KIO AVE 3,10 TO 12,67,New Generation,1977,59,295000,11,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,235,ANG MO KIO AVE 3,04 TO 06,67,New Generation,1977,59,295000,5,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,219,ANG MO KIO AVE 1,07 TO 09,67,New Generation,1977,59,297000,8,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,536,ANG MO KIO AVE 10,07 TO 09,68,New Generation,1980,62,298000,8,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,230,ANG MO KIO AVE 3,04 TO 06,67,New Generation,1978,60,298000,5,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,570,ANG MO KIO AVE 3,10 TO 12,67,New Generation,1979,61,300000,11,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,624,ANG MO KIO AVE 4,04 TO 06,68,New Generation,1980,62,301000,5,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,441,ANG MO KIO AVE 10,07 TO 09,67,New Generation,1979,61,306000,8,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,625,ANG MO KIO AVE 9,04 TO 06,68,New Generation,1980,62,312000,5,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,119,ANG MO KIO AVE 3,07 TO 09,67,New Generation,1978,60,312000,8,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,255,ANG MO KIO AVE 4,04 TO 06,73,New Generation,1977,59,321000,5,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,432,ANG MO KIO AVE 10,10 TO 12,67,New Generation,1979,61,325000,11,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,211,ANG MO KIO AVE 3,01 TO 03,67,New Generation,1977,59,325000,2,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,584,ANG MO KIO AVE 3,04 TO 06,67,New Generation,1979,61,328000,5,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,118,ANG MO KIO AVE 4,07 TO 09,74,New Generation,1978,60,330000,8,-12500,-21500
