month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,storey,town_premium,flat_model_premium
2017-01,ANG MO KIO,3 ROOM,333,ANG MO KIO AVE 1,07 TO 09,68,New Generation,1981,63,330000,8,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,256,ANG MO KIO AVE 4,10 TO 12,73,New Generation,1977,59,335000,11,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,330,ANG MO KIO AVE 1,07 TO 09,68,New Generation,1981,63,338000,8,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,557,ANG MO KIO AVE 10,10 TO 12,82,New Generation,1980,62,366000,11,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,302,ANG MO KIO AVE 3,10 TO 12,73,New Generation,1978,60,373000,11,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,575,ANG MO KIO AVE 10,07 TO 09,82,New Generation,1980,62,375000,8,-12500,-21500
2017-01,ANG MO KIO,3 ROOM,509,ANG MO KIO AVE 8,01 TO 03,81,New Generation,1980,62,390000,2,-12500,-21500
2017-02,ANG MO KIO,3 ROOM,180,ANG MO KIO AVE 5,01 TO 03,68,New Generation,1981,63,253000,2,-12500,-21500
2017-02,ANG MO KIO,3 ROOM,608,ANG MO KIO AVE 5,04 TO 06,67,New Generation,1980,62,270000,5,-12500,-21500
2017-02,ANG MO KIO,3 ROOM,605,ANG MO KIO AVE 5,04 TO 06,67,New Generation,1980,62,276000,5,-12500,-21500
2017-02,ANG MO KIO,3 ROOM,202,ANG MO KIO AVE 3,10 TO 12,67,New Generation,1977,59,285000,11,-12500,-21500
2017-02,ANG MO KIO,3 ROOM,133,ANG MO KIO AVE 3,01 TO 03,73,New Generation,1979,61,290000,2,-12500,-21500
2017-02,ANG MO KIO,3 ROOM,108,ANG MO KIO AVE 4,07 TO 09,67,New Generation,1978,60,295000,8,-12500,-21500
2017-02,ANG MO KIO,3 ROOM,564,ANG MO KIO AVE 3,01 TO 03,68,New Generation,1985,66,300000,2,-12500,-21500
2017-02,ANG MO KIO,3 ROOM,465,ANG MO KIO AVE 10,07 TO 09,68,New Generation,1980,62,312000,8,-12500,-21500
2017-02,ANG MO KIO,3 ROOM,577,ANG MO KIO AVE 10,10 TO 12,67,New Generation,1980,62,313000,11,-12500,-21500
2017-02,ANG MO KIO,3 ROOM,556,ANG MO KIO AVE 10,07 TO 09,68,New Generation,1980,61,315000,8,-12500,-21500
2017-02,ANG MO KIO,3 ROOM,319,ANG MO KIO AVE 1,01 TO 03,73,New Generation,1977,59,315000,2,-12500,-21500
2017-02,ANG MO KIO,3 ROOM,110,ANG MO KIO AVE 4,07 TO 09,67,New Generation,1978,60,315000,8,-12500,-21500
2017-02,ANG MO KIO,3 ROOM,126,ANG MO KIO AVE 3,10 TO 12,67,New Generation,1978,60,316000,11,-12500,-21500
2017-02,ANG MO KIO,3 ROOM,120,ANG MO KIO AVE 3,04 TO 06,67,New Generation,1978,60,320000,5,-12500,-21500
2017-02,ANG MO KIO,3 ROOM,571,ANG MO KIO AVE 3,04 TO 06,67,New Generation,1979,61,320000,5,-12500,-21500
2017-02,ANG MO KIO,3 ROOM,106,ANG MO KIO AVE 4,04 TO 06,74,New Generation,1978,60,333000,5,-12500,-21500
2017-02,ANG MO KIO,3 ROOM,333,ANG MO KIO AVE 1,10 TO 12,68,New Generation,1981,62,350000,11,-12500,-21500
2017-02,ANG MO KIO,3 ROOM,345,ANG MO KIO AVE 3,04 TO 06,73,New Generation,1978,60,355000,5,-12500,-21500
2017-02,ANG MO KIO,3 ROOM,329,ANG MO KIO AVE 3,10 TO 12,73,New Generation,1978,59,356000,11,-12500,-21500
2017-02,ANG MO KIO,3 ROOM,424,ANG MO KIO AVE 3,07 TO 09,73,New Generation,1979,60,380000,8,-12500,-21500
2017-02,ANG MO KIO,3 ROOM,322,ANG MO KIO AVE 3,01 TO 03,88,New Generation,1977,59,448000,2,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,213,ANG MO KIO AVE 3,01 TO 03,67,New Generation,1976,58,250000,2,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,558,ANG MO KIO AVE 10,13 TO 15,67,New Generation,1980,62,260000,14,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,565,ANG MO KIO AVE 3,01 TO 03,68,New Generation,1980,61,265000,2,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,605,ANG MO KIO AVE 5,07 TO 09,67,New Generation,1980,62,270000,8,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,434,ANG MO KIO AVE 10,01 TO 03,67,New Generation,1979,60,270000,2,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,154,ANG MO KIO AVE 5,04 TO 06,68,New Generation,1981,62,271000,5,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,466,ANG MO KIO AVE 10,13 TO 15,67,New Generation,1984,66,276000,14,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,629,ANG MO KIO AVE 4,01 TO 03,67,New Generation,1981,63,280000,2,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,452,ANG MO KIO AVE 10,01 TO 03,68,New Generation,1979,61,285000,2,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,442,ANG MO KIO AVE 10,07 TO 09,67,New Generation,1979,61,290000,8,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,540,ANG MO KIO AVE 10,04 TO 06,68,New Generation,1981,62,290000,5,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,440,ANG MO KIO AVE 10,04 TO 06,67,New Generation,1979,60,298000,5,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,110,ANG MO KIO AVE 4,07 TO 09,67,New Generation,1978,60,300000,8,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,533,ANG MO KIO AVE 5,04 TO 06,82,New Generation,1980,62,300000,5,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,445,ANG MO KIO AVE 10,01 TO 03,82,New Generation,1979,61,303000,2,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,607,ANG MO KIO AVE 4,04 TO 06,68,New Generation,1980,62,303000,5,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,476,ANG MO KIO AVE 10,07 TO 09,67,New Generation,1979,61,305500,8,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,465,ANG MO KIO AVE 10,04 TO 06,68,New Generation,1980,61,306000,5,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,558,ANG MO KIO AVE 10,10 TO 12,67,New Generation,1980,61,306000,11,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,215,ANG MO KIO AVE 1,07 TO 09,73,New Generation,1976,58,310000,8,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,216,ANG MO KIO AVE 1,07 TO 09,73,New Generation,1976,58,310000,8,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,524,ANG MO KIO AVE 5,10 TO 12,68,New Generation,1980,62,310000,11,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,128,ANG MO KIO AVE 3,04 TO 06,67,New Generation,1978,60,312888,5,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,178,ANG MO KIO AVE 4,10 TO 12,68,New Generation,1981,63,315000,11,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,507,ANG MO KIO AVE 8,07 TO 09,67,New Generation,1980,62,315000,8,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,586,ANG MO KIO AVE 3,04 TO 06,67,New Generation,1979,61,317000,5,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,445,ANG MO KIO AVE 10,10 TO 12,67,New Generation,1979,61,318000,11,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,639,ANG MO KIO AVE 6,07 TO 09,68,New Generation,1980,62,318000,8,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,435,ANG MO KIO AVE 10,10 TO 12,67,New Generation,1979,60,320000,11,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,128,ANG MO KIO AVE 3,10 TO 12,67,New Generation,1978,60,320000,11,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,157,ANG MO KIO AVE 4,04 TO 06,82,New Generation,1980,62,325000,5,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,117,ANG MO KIO AVE 4,07 TO 09,74,New Generation,1978,60,328000,8,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,119,ANG MO KIO AVE 3,10 TO 12,67,New Generation,1978,60,335000,11,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,542,ANG MO KIO AVE 10,01 TO 03,82,New Generation,1981,62,338000,2,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,649,ANG MO KIO AVE 5,07 TO 09,75,New Generation,1980,62,340000,8,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,417,ANG MO KIO AVE 10,10 TO 12,74,New Generation,1979,61,345000,11,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,422,ANG MO KIO AVE 3,10 TO 12,73,New Generation,1979,60,348000,11,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,475,ANG MO KIO AVE 10,04 TO 06,82,New Generation,1979,61,355000,5,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,122,ANG MO KIO AVE 3,10 TO 12,67,New Generation,1978,60,356000,11,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,445,ANG MO KIO AVE 10,10 TO 12,82,New Generation,1979,61,358000,11,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,155,ANG MO KIO AVE 4,07 TO 09,82,New Generation,1981,63,358000,8,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,471,ANG MO KIO AVE 10,07 TO 09,82,New Generation,1979,61,360000,8,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,235,ANG MO KIO AVE 3,10 TO 12,82,New Generation,1977,59,363000,11,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,320,ANG MO KIO AVE 1,04 TO 06,73,New Generation,1977,59,375000,5,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,419,ANG MO KIO AVE 10,04 TO 06,89,New Generation,1979,61,375000,5,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,440,ANG MO KIO AVE 10,07 TO 09,82,New Generation,1979,60,375000,8,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,513,ANG MO KIO AVE 8,04 TO 06,82,New Generation,1984,66,375000,5,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,513,ANG MO KIO AVE 8,04 TO 06,82,New Generation,1984,66,401888,5,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,322,ANG MO KIO AVE 3,07 TO 09,73,New Generation,1977,59,415000,8,-12500,-21500
2017-03,ANG MO KIO,3 ROOM,322,ANG MO KIO AVE 3,04 TO 06,88,New Generation,1977,59,420000,5,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,536,ANG MO KIO AVE 10,01 TO 03,68,New Generation,1980,61,260000,2,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,542,ANG MO KIO AVE 10,04 TO 06,68,New Generation,1981,62,270000,5,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,564,ANG MO KIO AVE 3,01 TO 03,68,New Generation,1985,66,282000,2,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,463,ANG MO KIO AVE 10,01 TO 03,68,New Generation,1980,61,283000,2,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,163,ANG MO KIO AVE 4,04 TO 06,69,New Generation,1980,62,285000,5,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,124,ANG MO KIO AVE 6,01 TO 03,67,New Generation,1979,60,285000,2,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,639,ANG MO KIO AVE 6,04 TO 06,68,New Generation,1980,62,290000,5,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,639,ANG MO KIO AVE 6,01 TO 03,68,New Generation,1980,62,293000,2,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,156,ANG MO KIO AVE 4,10 TO 12,68,New Generation,1981,63,295000,11,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,631,ANG MO KIO AVE 4,07 TO 09,67,New Generation,1985,66,296000,8,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,541,ANG MO KIO AVE 10,01 TO 03,68,New Generation,1981,62,298000,2,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,333,ANG MO KIO AVE 1,01 TO 03,68,New Generation,1981,62,300000,2,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,556,ANG MO KIO AVE 10,04 TO 06,82,New Generation,1980,61,300000,5,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,535,ANG MO KIO AVE 5,04 TO 06,67,New Generation,1980,61,300000,5,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,621,ANG MO KIO AVE 9,04 TO 06,68,New Generation,1980,62,300000,5,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,631,ANG MO KIO AVE 4,10 TO 12,67,New Generation,1985,66,303000,11,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,533,ANG MO KIO AVE 5,07 TO 09,67,New Generation,1980,61,303000,8,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,466,ANG MO KIO AVE 10,04 TO 06,67,New Generation,1984,66,305000,5,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,471,ANG MO KIO AVE 10,10 TO 12,67,New Generation,1979,61,308888,11,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,330,ANG MO KIO AVE 1,10 TO 12,68,New Generation,1981,62,310000,11,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,107,ANG MO KIO AVE 4,10 TO 12,74,New Generation,1978,60,310000,11,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,502,ANG MO KIO AVE 5,04 TO 06,68,New Generation,1981,62,310000,5,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,107,ANG MO KIO AVE 4,07 TO 09,74,New Generation,1978,60,315000,8,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,416,ANG MO KIO AVE 10,04 TO 06,74,New Generation,1979,61,315000,5,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,443,ANG MO KIO AVE 10,10 TO 12,67,New Generation,1979,61,318000,11,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,559,ANG MO KIO AVE 10,13 TO 15,68,New Generation,1980,61,320000,14,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,434,ANG MO KIO AVE 10,07 TO 09,67,New Generation,1979,60,322000,8,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,624,ANG MO KIO AVE 4,07 TO 09,68,New Generation,1980,62,322000,8,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,649,ANG MO KIO AVE 5,01 TO 03,75,New Generation,1980,62,323000,2,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,540,ANG MO KIO AVE 10,07 TO 09,68,New Generation,1981,62,325000,8,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,649,ANG MO KIO AVE 5,01 TO 03,75,New Generation,1980,62,325000,2,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,456,ANG MO KIO AVE 10,04 TO 06,75,New Generation,1980,61,328000,5,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,536,ANG MO KIO AVE 10,10 TO 12,68,New Generation,1980,61,340000,11,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,182,ANG MO KIO AVE 5,04 TO 06,68,New Generation,1981,63,340000,5,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,255,ANG MO KIO AVE 4,10 TO 12,73,New Generation,1977,59,360000,11,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,345,ANG MO KIO AVE 3,10 TO 12,73,New Generation,1978,60,370000,11,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,425,ANG MO KIO AVE 3,10 TO 12,73,New Generation,1979,60,370000,11,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,624,ANG MO KIO AVE 4,10 TO 12,82,New Generation,1980,62,380000,11,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,322,ANG MO KIO AVE 3,10 TO 12,73,New Generation,1977,59,400000,11,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,513,ANG MO KIO AVE 8,07 TO 09,82,New Generation,1984,66,401000,8,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,502,ANG MO KIO AVE 5,07 TO 09,82,New Generation,1981,62,402000,8,-12500,-21500
2017-04,ANG MO KIO,3 ROOM,346,ANG MO KIO AVE 3,04 TO 06,73,New Generation,1978,60,420888,5,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,443,ANG MO KIO AVE 10,01 TO 03,67,New Generation,1979,61,250000,2,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,611,ANG MO KIO AVE 5,04 TO 06,67,New Generation,1980,62,255000,5,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,109,ANG MO KIO AVE 4,01 TO 03,67,New Generation,1978,60,264000,2,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,468,ANG MO KIO AVE 10,04 TO 06,67,New Generation,1979,61,272000,5,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,610,ANG MO KIO AVE 4,01 TO 03,68,New Generation,1980,62,275000,2,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,465,ANG MO KIO AVE 10,10 TO 12,68,New Generation,1980,61,280000,11,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,535,ANG MO KIO AVE 5,01 TO 03,67,New Generation,1980,61,280000,2,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,214,ANG MO KIO AVE 3,01 TO 03,67,New Generation,1976,57,282000,2,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,466,ANG MO KIO AVE 10,04 TO 06,67,New Generation,1984,66,288000,5,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,468,ANG MO KIO AVE 10,01 TO 03,67,New Generation,1979,61,290000,2,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,635,ANG MO KIO AVE 6,10 TO 12,68,New Generation,1980,62,290000,11,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,404,ANG MO KIO AVE 10,10 TO 12,67,New Generation,1979,61,290000,11,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,463,ANG MO KIO AVE 10,04 TO 06,68,New Generation,1980,61,290000,5,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,465,ANG MO KIO AVE 10,01 TO 03,68,New Generation,1980,61,290000,2,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,153,ANG MO KIO AVE 5,10 TO 12,68,New Generation,1981,62,295000,11,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,536,ANG MO KIO AVE 10,07 TO 09,68,New Generation,1980,61,295000,8,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,201,ANG MO KIO AVE 3,10 TO 12,67,New Generation,1977,58,295000,11,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,153,ANG MO KIO AVE 5,10 TO 12,68,New Generation,1981,62,295000,11,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,610,ANG MO KIO AVE 4,10 TO 12,68,New Generation,1980,62,300000,11,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,631,ANG MO KIO AVE 4,07 TO 09,67,New Generation,1985,66,300000,8,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,512,ANG MO KIO AVE 8,01 TO 03,68,New Generation,1980,62,300000,2,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,403,ANG MO KIO AVE 10,04 TO 06,67,New Generation,1979,61,300000,5,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,153,ANG MO KIO AVE 5,10 TO 12,68,New Generation,1981,62,303000,11,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,330,ANG MO KIO AVE 1,01 TO 03,68,New Generation,1981,62,305000,2,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,575,ANG MO KIO AVE 10,10 TO 12,67,New Generation,1980,61,305000,11,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,565,ANG MO KIO AVE 3,13 TO 15,68,New Generation,1980,61,305000,14,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,534,ANG MO KIO AVE 10,04 TO 06,68,New Generation,1980,61,305000,5,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,233,ANG MO KIO AVE 3,07 TO 09,67,New Generation,1977,59,308000,8,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,119,ANG MO KIO AVE 3,10 TO 12,67,New Generation,1978,60,310000,11,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,564,ANG MO KIO AVE 3,10 TO 12,68,New Generation,1985,66,315000,11,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,564,ANG MO KIO AVE 3,10 TO 12,68,New Generation,1985,66,318000,11,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,571,ANG MO KIO AVE 3,10 TO 12,67,New Generation,1979,61,318000,11,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,127,ANG MO KIO AVE 3,07 TO 09,67,New Generation,1978,60,328000,8,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,235,ANG MO KIO AVE 3,04 TO 06,82,New Generation,1977,59,328000,5,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,463,ANG MO KIO AVE 10,10 TO 12,82,New Generation,1980,61,335000,11,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,106,ANG MO KIO AVE 4,04 TO 06,74,New Generation,1978,59,338000,5,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,476,ANG MO KIO AVE 10,13 TO 15,82,New Generation,1979,61,339000,14,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,585,ANG MO KIO AVE 3,07 TO 09,81,New Generation,1979,61,340000,8,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,443,ANG MO KIO AVE 10,04 TO 06,82,New Generation,1979,61,340000,5,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,103,ANG MO KIO AVE 3,04 TO 06,74,New Generation,1978,59,345000,5,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,728,ANG MO KIO AVE 6,04 TO 06,82,New Generation,1980,62,345000,5,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,512,ANG MO KIO AVE 8,10 TO 12,68,New Generation,1980,62,350000,11,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,649,ANG MO KIO AVE 5,01 TO 03,75,New Generation,1980,62,362000,2,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,320,ANG MO KIO AVE 1,10 TO 12,73,New Generation,1977,59,367000,11,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,441,ANG MO KIO AVE 10,01 TO 03,82,New Generation,1979,60,370000,2,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,255,ANG MO KIO AVE 4,04 TO 06,88,New Generation,1977,59,370000,5,-12500,-21500
2017-05,ANG MO KIO,3 ROOM,509,ANG MO KIO AVE 8,07 TO 09,81,New Generation,1980,62,398000,8,-12500,-21500
2017-06,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,07 TO 09,67,New Generation,1976,58,235000,8,-12500,-21500
2017-06,ANG MO KIO,3 ROOM,465,ANG MO KIO AVE 10,07 TO 09,68,New Generation,1980,61,260000,8,-12500,-21500
2017-06,ANG MO KIO,3 ROOM,151,ANG MO KIO AVE 5,01 TO 03,68,New Generation,1981,62,260000,2,-12500,-21500
2017-06,ANG MO KIO,3 ROOM,576,ANG MO KIO AVE 10,04 TO 06,67,New Generation,1980,61,265000,5,-12500,-21500
2017-06,ANG MO KIO,3 ROOM,213,ANG MO KIO AVE 3,01 TO 03,67,New Generation,1976,57,268000,2,-12500,-21500
2017-06,ANG MO KIO,3 ROOM,577,ANG MO KIO AVE 10,01 TO 03,67,New Generation,1980,61,270000,2,-12500,-21500
2017-06,ANG MO KIO,3 ROOM,330,ANG MO KIO AVE 1,01 TO 03,68,New Generation,1981,62,275000,2,-12500,-21500
2017-06,ANG MO KIO,3 ROOM,201,ANG MO KIO AVE 3,07 TO 09,67,New Generation,1977,58,275000,8,-12500,-21500
