,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,combined_blk_street_name,oneMapAPI_Name,time_to_city,nearest_mall,nearest_school,nearest_mrt,storey,town_premium,flat_model_premium
22,2020-12,ANG MO KIO,EXECUTIVE,104A,ANG MO KIO ST 11,04 TO 06,147.0,Apartment,1996,74,860000.0,104A ANG MO KIO ST 11,KEBUN BARU HEIGHTS,26.76666667,993,196,1303,5,150000.0,-62000.0
23,2021-01,ANG MO KIO,EXECUTIVE,614,ANG MO KIO AVE 4,01 TO 03,147.0,Apartment,1996,74,795000.0,614 ANG MO KIO AVE 4,614 ANG MO KIO AVENUE 4 SINGAPORE 560614,33.23333333,1368,637,1163,2,150000.0,-62000.0
24,2021-02,ANG MO KIO,EXECUTIVE,615,ANG MO KIO AVE 4,10 TO 12,156.0,Apartment,1996,74,850000.0,615 ANG MO KIO AVE 4,615 ANG MO KIO AVENUE 4 SINGAPORE 560615,33.68333333,1318,587,1114,11,150000.0,-62000.0
25,2021-02,ANG MO KIO,EXECUTIVE,104A,ANG MO KIO ST 11,04 TO 06,142.0,Apartment,1996,74,850000.0,104A ANG MO KIO ST 11,KEBUN BARU HEIGHTS,26.76666667,993,196,1303,5,150000.0,-62000.0
26,2021-06,ANG MO KIO,EXECUTIVE,614,ANG MO KIO AVE 4,01 TO 03,149.0,Apartment,1996,74,812000.0,614 ANG MO KIO AVE 4,614 ANG MO KIO AVENUE 4 SINGAPORE 560614,33.23333333,1368,637,1163,2,150000.0,-62000.0
27,2021-09,ANG MO KIO,EXECUTIVE,614,ANG MO KIO AVE 4,07 TO 09,149.0,Apartment,1996,73,898000.0,614 ANG MO KIO AVE 4,614 ANG MO KIO AVENUE 4 SINGAPORE 560614,33.23333333,1368,637,1163,8,150000.0,-62000.0
28,2021-10,ANG MO KIO,EXECUTIVE,614,ANG MO KIO AVE 4,13 TO 15,147.0,Apartment,1996,73,920000.0,614 ANG MO KIO AVE 4,614 ANG MO KIO AVENUE 4 SINGAPORE 560614,33.23333333,1368,637,1163,14,150000.0,-62000.0
29,2021-12,ANG MO KIO,EXECUTIVE,613,ANG MO KIO AVE 4,01 TO 03,149.0,Apartment,1996,73,890000.0,613 ANG MO KIO AVE 4,613 ANG MO KIO AVENUE 4 SINGAPORE 560613,32.11666667,1448,717,1055,2,150000.0,-62000.0
30,2021-12,ANG MO KIO,EXECUTIVE,104A,ANG MO KIO ST 11,10 TO 12,142.0,Apartment,1996,73,1006888.0,104A ANG MO KIO ST 11,KEBUN BARU HEIGHTS,26.76666667,993,196,1303,11,150000.0,-62000.0
31,2022-01,ANG MO KIO,EXECUTIVE,615,ANG MO KIO AVE 4,07 TO 09,149.0,Apartment,1996,73,955000.0,615 ANG MO KIO AVE 4,615 ANG MO KIO AVENUE 4 SINGAPORE 560615,33.68333333,1318,587,1114,8,150000.0,-62000.0
32,2022-01,ANG MO KIO,EXECUTIVE,613,ANG MO KIO AVE 4,01 TO 03,147.0,Apartment,1996,73,800000.0,613 ANG MO KIO AVE 4,613 ANG MO KIO AVENUE 4 SINGAPORE 560613,32.11666667,1448,717,1055,2,150000.0,-62000.0
